Year,Trade Flow,Reporter,Partner,Commodity Code,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2021,Import,Jordan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,9382431,9382431,23286417
2021,Export,Kuwait,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,72830,72830,195408
2021,Import,Senegal,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,8524696,8524696,12768176
2021,Export,Kyrgyzstan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,100,100,1779
2021,Import,Guatemala,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,8144363,8144363,17993941
2021,Import,Lebanon,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,8050141,8050141,15039557
2021,Export,Lebanon,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,163782,163782,366374
2021,Import,Zambia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7670115,7670115,18154158
2021,Import,Dominican Rep.,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7597725,11137665,23487215
2021,Export,Latvia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,557638,557638,1964580
2021,Import,Bolivia (Plurinational State of),World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7580641,7628688,13672257
2021,Export,Lithuania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1587618,1587618,5758165
2021,Import,Angola,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,7107934,7107934,14752079
2021,Export,Luxembourg,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,134441,134441,231007
2021,Import,Myanmar,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,5855948,5855948,7799279
2021,Import,El Salvador,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,5849490,5849490,14765925
2021,Export,Madagascar,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,4835,4835,28084
2021,Import,Lithuania,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,5583776,5583776,13785115
2021,Export,Malaysia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,269185125,269185125,540656329
2021,Import,Luxembourg,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,4299559,4299559,12623634
2021,Import,Burkina Faso,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,4149273,4149273,6127370
2021,Export,Malta,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1250,1250,12027
2021,Import,Uruguay,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,4146065,4146065,10493307
2021,Import,Azerbaijan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,4004000,4004000,7570969
2021,Export,Mauritius,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,59432,59096,133208
2021,Import,Bosnia Herzegovina,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3985072,3985072,7379251
2021,Export,Mexico,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,43090154,43090154,99024230
2021,Import,Paraguay,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3494426,3494426,7622442
2021,Export,"Other Asia, nes",World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,317426540,317426540,635877278
2021,Import,Rep. of Moldova,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3396085,3396085,5589983
2021,Import,Latvia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3351198,3351198,8051179
2021,Export,Rep. of Moldova,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,18,18,51
2021,Import,Mauritius,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3172731,3158384,6192577
2021,Import,Honduras,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,3002169,3002169,4828756
2021,Export,Morocco,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,504583,504583,925222
2021,Import,Cambodia,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2968068,2968068,7131307
2021,Export,Mozambique,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,1899,1899,148314
2021,Import,Tajikistan,World,390690,"Acrylic polymers; (other than polymethyl methacrylate), in primary forms",Weight in kilograms,2856227,2856227,3278603
